region,subregion,country,variable,description,source,year,stat
Africa,North Africa,Algeria,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2010,0.52
Africa,West and Central Africa,Burkina Faso,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2006,2.90
Africa,West and Central Africa,Cabo Verde,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC/Govt.,2012,2.40
Africa,North Africa,Egypt,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),Govt;  Academic Research,2006,6.24
Africa,Eastern Africa,Kenya,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),Govt,2007,2.10
Africa,West and Central Africa,Liberia,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2008,3.18
Africa,Eastern Africa,Madagascar,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2004,9.10
Africa,Eastern Africa,Mauritius,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),Government source,2009,1.08
Africa,North Africa,Morocco,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2004,4.22
Africa,West and Central Africa,Nigeria,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2008,14.30
Africa,West and Central Africa,Sierra Leone,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2010,5.42
Africa,Southern Africa,South Africa,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2011,3.65
Africa,West and Central Africa,Togo,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2009,1.00
Africa,North Africa,Tunisia,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2013,2.60
Africa,Southern Africa,Zambia,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),Govt;  Academic Research,2004,9.50
Americas,South America,Argentina,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2011,3.20
Americas,Caribbean,Bahamas,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2008,5.54
Americas,Caribbean,Barbados,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),CICAD,2006,8.30
Americas,Central America,Belize,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),CICAD,2005,8.45
Americas,Caribbean,Bermuda,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),Government source,2009,10.90
Americas,South America,Bolivia (Plurinational State of),Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2013,1.27
Americas,South America,Brazil,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),Government source,2005,2.60
Americas,North America,Canada,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2013,12.70
Americas,South America,Chile,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2014,11.83
Americas,South America,Colombia,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2013,3.27
Americas,Central America,Costa Rica,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2010,2.76
Americas,Caribbean,Dominican Republic,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2008,0.31
Americas,South America,Ecuador,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),Encuesta Nacional Sobre el uso de drogas en poblacion General,2013,0.67
Americas,Central America,El Salvador,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2014,2.03
Americas,Central America,Guatemala,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2005,4.80
Americas,South America,Guyana,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2010,4.04
Americas,Caribbean,Haiti,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2010,1.51
Americas,Central America,Honduras,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2005,0.83
Americas,Caribbean,Jamaica,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2010,7.21
Americas,North America,Mexico,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2011,1.20
