continent,region,country,iso,Number of deaths related with drugs,"Number of drug-related deaths, mortality rates per million persons",Population density (people per sq. km of land area),GDP per capita (constant 2005 US$),"Tuberculosis case detection rate (%, all forms)","Life expectancy at birth, total (years)","Population, total",Urban population (% of total),Rule of Law (WBGI),Government Effectiveness (WBGI),Political Stability (WBGI),"People who consumes cannabis, %"
Africa,Eastern Africa,Kenya,KEN,1571,63.5,74.8,624,81,60.3,42500000,24.4,-0.9,-0.6,-1.3,0.3
Africa,Eastern Africa,Seychelles,SYC,5,80.2,192,14749.9,100,74.2,88303,52.9,0,0.4,0.8,2.7
Americas,Central America,Costa Rica,CRI,21,6.8,91.2,5908.6,86,79.1,4654148,73.9,0.5,0.5,0.6,3.3
Americas,Central America,El Salvador,SLV,568,160.1,293.1,3145.6,92,72.2,6072233,65.3,-0.8,-0.1,0.2,0.7
Americas,Central America,Nicaragua,NIC,11,2.8,48.8,1359.5,89,74.2,5877034,57.8,-0.7,-0.9,-0.4,0.9
Americas,Central America,Panama,PAN,1,0.4,50.4,7373.2,80,77.2,3743761,65.7,-0.2,0.3,-0.2,0.9
Americas,North America,Canada,CAN,2394,104.5,3.8,37442.3,93,81.2,34800000,81.3,1.8,1.8,1.1,2.6
Americas,North America,Mexico,MEX,263,3.2,62.8,8444.5,81,76.4,122000000,78.4,-0.6,0.3,-0.7,1.6
Americas,South America,Brazil,BRA,200,1.4,24.2,5791.3,82,73.8,202000000,84.9,-0.1,-0.1,0.1,2.6
Americas,South America,Ecuador,ECU,3,0.3,62.1,3623.9,60,75.4,15400000,63.1,-1.2,-0.5,-0.6,0.7
Americas,South America,Peru,PER,42,2.2,23.6,3912,78,74.1,30200000,77.6,-0.6,-0.2,-0.9,0.9
Americas,South America,Uruguay,URY,216,100.2,19.4,7419.2,87,76.7,3396753,94.8,0.5,0.4,0.7,11.0
Americas,South America,Venezuela (Bolivarian Republic of),VEN,197,55.3,33.9,6433.6,88,73.9,29900000,88.9,-1.7,-1.1,-1,11.0
Asia,Central Asia  and Transcaucasian countries,Kazakhstan,KAZ,323,27.7,6.2,5192.6,85,69.6,16800000,53.5,-0.7,-0.4,-0.4,0.3
Asia,Central Asia  and Transcaucasian countries,Tajikistan,TJK,47,9.4,131.5,3664.7,52,74.1,67200000,46.7,-0.2,0.2,-1.2,6.7
