country,region,subregion,specifics,,retail_price,retail_punit,retail_year,wholesale_price,wholesale_unit,wholesale_year
Guatemala,Americas,Central America,Marijuana (herb),,0.2,Gram,2014,95,Kilogram,2014
Gambia,Africa,Western and Central Africa,Marijuana (herb),,1,Gram,2007,93.9,Kilogram,2007
Senegal,Africa,Western and Central Africa,Hashish (resin),,,,,921.7,Kilogram,2006
Cyprus,Europe,Western & Central Europe,Hashish (resin),,,,,9667.3,Kilogram,2009
Hong Kong SAR,Asia,East and South-East Asia,Marijuana (herb),,23.2,Gram,2014,9666.2,Kilogram,2014
Greecekong,Europe,Western & Central Europe,Hashish (resin),,26.3,Gram,2014,9211.6,Kilogram,2014
Ireland,Europe,Western & Central Europe,Marijuana (herb),,26.3,Gram,2014,9211.6,Kilogram,2014
New Zealand,Oceania,Oceania,Cannabis oil,,,,,89285.7,Kilogram,2005
Turkey,Europe,South-Eastern Europe,Marijuana (herb),,6.6,Gram,2014,842.2,Kilogram,2014
The former Yugoslav Republic of Macedonia,Europe,South-Eastern Europe,Hashish (resin),,,,,817.7,Kilogram,2005
Turks and Caicos Islands,Americas,Caribbean,Hashish (resin),,15,Gram,2004,800,Kilogram,2004
Kyrgyzstan,Asia,Central Asia and Transcaucasian countries,Marijuana (herb),,2,Gram,2014,800,Kilogram,2014
Syrian Arab Republic,Asia,Near and Middle East /South-West Asia,Hashish (resin),,1.2,Gram,2007,800,Kilogram,2008
Mexico,Americas,Northern America,Marijuana (herb),,,,,80,Kilogram,2014
Greece,Europe,Western & Central Europe,Marijuana (herb),,19.7,Gram,2014,8553.7,Kilogram,2014
Jordan,Asia,Near and Middle East /South-West Asia,Cannabis oil,,,,,8410,Kilogram,2006
Georgia,Asia,Central Asia and Transcaucasian countries,Hashish (resin),,,,,8000,Kilogram,2008
Maldives,Asia,Near and Middle East /South-West Asia,Cannabis oil,,76.9,Gram,2006,76930,Kilogram,2006
India,Asia,Near and Middle East /South-West Asia,Hashish (resin),,0.2,Gram,2012,75.9,Kilogram,2012
Indonesia,Asia,East and South-East Asia,Marijuana (herb),,0.4,Gram,2014,72,Kilogram,2014
Turks and Caicos Islands,Americas,Caribbean,Marijuana (herb),,10,Gram,2006,700,Kilogram,2006
United Kingdom,Europe,Western & Central Europe,Marijuana (herb),,13.3,Gram,2014,7764,Kilogram,2014
Sweden,Europe,Western & Central Europe,Marijuana (herb),,15.3,Gram,2014,7641.4,Kilogram,2014
Ukraine,Europe,Eastern Europe,Hashish (resin),,,,,7500,Kilogram,2009
Bulgaria,Europe,South-Eastern Europe,Marijuana (herb),,12.5,Gram,2014,7476.6,Kilogram,2014
Lithuania,Europe,Western & Central Europe,Marijuana (herb),,13.7,Gram,2014,7241.7,Kilogram,2014
Indonesia,Asia,East and South-East Asia,Hashish (resin),,8.5,Gram,2014,7239.2,Kilogram,2009
New Zealand,Oceania,Oceania,Marijuana (herb),,15.6,Gram,2014,7014.8,Kilogram,2014
Azerbaijan,Asia,Central Asia and Transcaucasian countries,Marijuana (herb),,12.5,Gram,2014,7000,Kilogram,2014
Russian Federation,Europe,Eastern Europe,Hashish (resin),,27,Gram,2012,7000,Kilogram,2014
Philippines,Asia,East and South-East Asia,Marijuana (herb),,1.4,Gram,2014,67.6,Kilogram,2013
Eritrea,Africa,Eastern Africa,Hashish (resin),,5,Gram,2008,666.7,Kilogram,2008
