Region,Subregion,name,Drug,retail_price,retail_unit,retail_year,wholesale_price,wholesale_unit,wholesale_year
Americas,South America,Peru,Coca paste/cocaine base,1.11,Gram,2012,300.00,Kilogram,2011
Americas,South America,Peru,Coca paste/cocaine base,,,,600.00,Kilogram,2011
Americas,South America,Venezuela (Bolivarian Republic of),Crack,1.16,Gram,2006,700.00,Kilogram,2006
Americas,South America,Colombia,Coca paste/cocaine base,,,,983.00,Kilogram,2014
Americas,South America,Colombia,Cocaine base,,,,1013.00,Kilogram,2013
Americas,South America,Bolivia (Plurinational State of),Coca paste/cocaine base,4.33,Gram,2012,1200.00,Kilogram,2012
Americas,South America,Peru,Cocaine salts,5.55,Gram,2012,1200.00,Kilogram,2011
Americas,South America,Colombia,Coca paste/cocaine base,,,,1238.00,Kilogram,2014
Asia,Central Asia and Transcaucasian countries,Armenia,Coca paste/cocaine base,,Gram,2008,1500.00,Kilogram,2005
Americas,South America,Ecuador,Coca paste/cocaine base,5.00,Gram,2011,1900.00,Kilogram,2011
Americas,South America,Colombia,Cocaine salts,,,,2269.00,Kilogram,2014
Americas,Central America,Honduras,Crack,2.50,Gram,2008,2500.00,Kilogram,2008
Americas,Central America,Panama,Cocaine salts,2.00,Gram,2005,2500.00,Kilogram,2005
Americas,Central America,Panama,Crack,1.00,Gram,2005,2500.00,Kilogram,2005
Americas,South America,Bolivia (Plurinational State of),Cocaine salts,5.77,Gram,2012,2500.00,Kilogram,2014
Americas,South America,Guyana,Crack,6.00,Gram,2009,2500.00,Kilogram,2009
Americas,South America,Paraguay,Crack,10.00,Gram,2008,2800.00,Kilogram,2008
Americas,South America,Chile,Cocaine base,28.00,Gram,2013,3500.00,Kilogram,2013
Africa,Western and Central Africa,Congo,Coca paste/cocaine base,5.96,Gram,2005,3708.09,Kilogram,2004
Americas,South America,Uruguay,Coca paste/cocaine base,12.52,Gram,2012,3800.00,Kilogram,2012
Americas,South America,Uruguay,Cocaine base,11.63,Gram,2013,3800.00,Kilogram,2013
Americas,South America,Ecuador,Cocaine salts,7.00,Gram,2011,4000.00,Kilogram,2011
Americas,South America,Chile,Coca paste/cocaine base,,,,4134.67,Kilogram,2012
Americas,South America,Venezuela (Bolivarian Republic of),Cocaine salts,9.30,Gram,2006,4190.00,Kilogram,2006
Americas,South America,Paraguay,Cocaine salts,4.32,Gram,2014,4316.86,Kilogram,2014
Americas,South America,Argentina,Cocaine salts,5.90,Gram,2004,4800.00,Kilogram,2004
Africa,Northern Africa,Morocco,Cocaine salts,116.42,Gram,2013,4901.96,Kilogram,2013
Americas,Caribbean,Saint Vincent and the Grenadines,Crack,1.80,Gram,2008,5000.00,Kilogram,2008
Americas,South America,Guyana,Cocaine salts,5.00,Gram,2005,5000.00,Kilogram,2009
Americas,Caribbean,Jamaica,Coca paste/cocaine base,,,,5795.00,Kilogram,2006
Americas,South America,Brazil,Crack,6.00,Gram,2005,5957.11,Kilogram,2011
Americas,South America,Brazil,Coca paste/cocaine base,,,,5957.11,Kilogram,2011
Africa,Western and Central Africa,Cote d'Ivoire,Crack,5.90,Gram,2009,6042.46,Kilogram,2009
Americas,Caribbean,Dominican Republic,Cocaine salts,6.23,Gram,2014,6227.71,Kilogram,2014
Americas,Caribbean,Trinidad and Tobago,Cocaine salts,63.90,Gram,2006,6390.00,Kilogram,2006
Americas,Caribbean,Haiti,Cocaine salts,10.00,Gram,2004,6500.00,Kilogram,2004
Americas,Caribbean,Bahamas,Cocaine salts,20.00,Gram,2008,7000.00,Kilogram,2008
Americas,Caribbean,Saint Vincent and the Grenadines,Cocaine salts,1.84,Gram,2008,7000.00,Kilogram,2008
Americas,Central America,Honduras,Coca paste/cocaine base,9.19,Gram,2008,7300.00,Kilogram,2008
Americas,Central America,Belize,Cocaine salts,7.52,Gram,2005,7447.24,Kilogram,2007
Americas,South America,Chile,Cocaine salts,12.69,Gram,2014,7907.74,Kilogram,2014
Americas,South America,Uruguay,Cocaine salts,16.63,Gram,2014,8000.00,Kilogram,2014
Americas,Caribbean,Montserrat,Coca paste/cocaine base,59.00,Gram,2004,8880.88,Kilogram,2004
Americas,South America,Brazil,Cocaine salts,,,,8935.66,Kilogram,2011
Americas,Caribbean,Turks and Caicos Islands,Cocaine salts,20.00,Gram,2006,9000.00,Kilogram,2006
Americas,Caribbean,Grenada,Cocaine salts,36.89,Gram,2005,9223.36,Kilogram,2005
Africa,Western and Central Africa,Guinea-Bissau,Coca paste/cocaine base,,,,9273.00,Kilogram,2010
